SEQ,TIMESTAMP,BP10,BSize10,BP9,BSize9,BP8,BSize8,BP7,BSize7,BP6,BSize6,BP5,BSize5,BP4,BSize4,BP3,BSize3,BP2,BSize2,BP1,BSize1,AP1,ASize1,AP2,ASize2,AP3,ASize3,AP4,ASize4,AP5,ASize5,AP6,ASize6,AP7,ASize7,AP8,ASize8,AP9,ASize9,AP10,ASize10
104,2014-03-20 09:30:04.342,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,44800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
105,2014-03-20 09:30:04.353,*,*,*,*,*,*,*,*,75.9,48800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
106,2014-03-20 09:30:04.355,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,44400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
107,2014-03-20 09:30:04.360,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,8800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
108,2014-03-20 09:30:04.361,*,*,*,*,75.8,54000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
109,2014-03-20 09:30:04.376,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,19200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
110,2014-03-20 09:30:04.378,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,42400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
111,2014-03-20 09:30:04.400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,40400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
112,2014-03-20 09:30:04.402,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,32400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
113,2014-03-20 09:30:04.402,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,31200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
114,2014-03-20 09:30:04.478,*,*,*,*,75.8,54400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
115,2014-03-20 09:30:04.492,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,33600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
116,2014-03-20 09:30:04.551,*,*,*,*,*,*,*,*,75.9,49600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
117,2014-03-20 09:30:04.725,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,33200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
118,2014-03-20 09:30:05.066,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,31200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
119,2014-03-20 09:30:05.103,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,2400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
120,2014-03-20 09:30:05.169,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,3600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
121,2014-03-20 09:30:05.174,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,30800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
122,2014-03-20 09:30:05.176,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,142800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
