Seq_No	Time	Transaction_Price	Volume	Bid_Price	Bid_Size	Ask_Price	Ask_Size
11316	2014-03-21 14:12:27.007	*	*	*	*	76.35	64400
11317	2014-03-21 14:12:28.732	*	*	*	*	76.35	33200
11318	2014-03-21 14:12:28.732	76.3	800	*	*	*	*
11319	2014-03-21 14:12:28.732	76.3	1200	*	*	*	*
11320	2014-03-21 14:12:28.732	76.3	800	*	*	*	*
11321	2014-03-21 14:12:28.732	76.3	800	*	*	*	*
11322	2014-03-21 14:12:28.732	76.3	400	*	*	*	*
11323	2014-03-21 14:12:28.732	76.3	400	*	*	*	*
11324	2014-03-21 14:12:28.732	76.3	400	*	*	*	*
11325	2014-03-21 14:12:28.732	76.3	400	*	*	*	*
11326	2014-03-21 14:12:28.732	76.3	800	*	*	*	*
11327	2014-03-21 14:12:28.732	76.3	8000	*	*	*	*
11328	2014-03-21 14:12:28.732	76.3	800	*	*	*	*
11329	2014-03-21 14:12:28.732	76.3	1200	*	*	*	*
11330	2014-03-21 14:12:28.732	76.3	800	*	*	*	*
11331	2014-03-21 14:12:28.732	76.3	800	*	*	*	*
11332	2014-03-21 14:12:28.732	76.3	400	*	*	*	*
11333	2014-03-21 14:12:28.733	76.3	800	*	*	*	*
11334	2014-03-21 14:12:28.733	76.3	800	*	*	*	*
11335	2014-03-21 14:12:28.733	76.3	800	*	*	*	*
11336	2014-03-21 14:12:28.733	76.3	400	*	*	*	*
11337	2014-03-21 14:12:28.733	76.3	400	*	*	*	*
11338	2014-03-21 14:12:28.733	76.3	800	*	*	*	*
11339	2014-03-21 14:12:28.733	76.3	9200	*	*	*	*
11340	2014-03-21 14:12:28.733	*	*	76.3	16000	*	*
11341	2014-03-21 14:12:30.328	*	*	*	*	76.35	31200
11342	2014-03-21 14:12:30.330	*	*	*	*	76.35	28800
11343	2014-03-21 14:12:30.331	76.3	2000	*	*	*	*
11344	2014-03-21 14:12:30.331	76.3	2400	*	*	*	*
11345	2014-03-21 14:12:30.331	76.3	1200	*	*	*	*
11346	2014-03-21 14:12:30.331	76.3	2400	*	*	*	*
11347	2014-03-21 14:12:30.331	76.3	400	*	*	*	*
11348	2014-03-21 14:12:30.331	76.3	1200	*	*	*	*
11349	2014-03-21 14:12:30.331	*	*	76.3	6400	*	*
11350	2014-03-21 14:12:30.331	*	*	*	*	76.35	26000
11351	2014-03-21 14:12:31.486	*	*	*	*	76.35	22400
11352	2014-03-21 14:12:31.486	76.3	400	*	*	*	*
11353	2014-03-21 14:12:31.486	76.3	3200	*	*	*	*
11354	2014-03-21 14:12:31.486	*	*	76.3	2800	*	*
11355	2014-03-21 14:12:31.638	*	*	*	*	76.35	26400
11356	2014-03-21 14:12:32.383	*	*	*	*	76.35	30000
